TID: [-1234] [] [2019-11-25 03:39:04,493]  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} -  Permission cache updated for tenant -1234 {org.wso2.carbon.core.internal.permission.update.PermissionUpdater}
TID: [-1234] [] [2019-11-25 03:39:05,437]  WARN {org.wso2.carbon.identity.application.mgt.internal.ApplicationManagementServiceComponent} -  Templates directory not found at C:\WSO2\wso2am-2.6.0\bin\..\repository\resources\identity\authntemplates {org.wso2.carbon.identity.application.mgt.internal.ApplicationManagementServiceComponent}
TID: [-1234] [] [2019-11-25 03:39:05,562]  INFO {org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler} -  org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler Initialised {org.wso2.carbon.apimgt.keymgt.handlers.DefaultKeyValidationHandler}
TID: [-1234] [] [2019-11-25 03:39:05,563]  INFO {org.wso2.carbon.apimgt.keymgt.service.APIKeyValidationService} -  Initialised KeyValidationHandler instance successfully {org.wso2.carbon.apimgt.keymgt.service.APIKeyValidationService}
TID: [-1234] [] [2019-11-25 03:39:05,597]  INFO {org.wso2.carbon.apimgt.keymgt.internal.APIKeyMgtServiceComponent} -  Started thrift key mgt service at port:10397 {org.wso2.carbon.apimgt.keymgt.internal.APIKeyMgtServiceComponent}
TID: [-1234] [] [2019-11-25 03:39:05,785]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} -  Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent}
TID: [-1234] [] [2019-11-25 03:39:05,792]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} -  Claim manager set for class org.wso2.carbon.user.core.jdbc.JDBCUserStoreManager {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent}
TID: [-1234] [] [2019-11-25 03:39:05,939]  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} -  Thread pool size for temporary authentication context data delete task: 20 {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore}
TID: [-1234] [] [2019-11-25 03:39:06,775]  INFO {org.wso2.carbon.identity.oauth2.internal.OAuth2ServiceComponent} -  PKCE Support enabled. {org.wso2.carbon.identity.oauth2.internal.OAuth2ServiceComponent}
TID: [-1234] [] [2019-11-25 03:39:07,356]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} -  Starting ESB... {org.wso2.carbon.mediation.initializer.ServiceBusInitializer}
TID: [-1234] [] [2019-11-25 03:39:07,356]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} -  Initializing Apache Synapse... {org.wso2.carbon.mediation.initializer.ServiceBusInitializer}
TID: [-1234] [] [2019-11-25 03:39:07,372]  INFO {org.apache.synapse.SynapseControllerFactory} -  Using Synapse home : C:\WSO2\wso2am-2.6.0\. {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2019-11-25 03:39:07,372]  INFO {org.apache.synapse.SynapseControllerFactory} -  Using synapse.xml location : C:\WSO2\wso2am-2.6.0\.\.\repository\deployment\server\synapse-configs\default {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2019-11-25 03:39:07,372]  INFO {org.apache.synapse.SynapseControllerFactory} -  Using server name : apies.northeurope.cloudapp.azure.com {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2019-11-25 03:39:07,372]  INFO {org.apache.synapse.SynapseControllerFactory} -  The timeout handler will run every : 15s {org.apache.synapse.SynapseControllerFactory}
TID: [-1234] [] [2019-11-25 03:39:07,372]  INFO {org.apache.synapse.Axis2SynapseController} -  Initializing Synapse at : Mon Nov 25 03:39:07 UTC 2019 {org.apache.synapse.Axis2SynapseController}
TID: [-1234] [] [2019-11-25 03:39:07,403]  INFO {org.wso2.carbon.mediation.initializer.CarbonSynapseController} -  Loading the mediation configuration from the file system {org.wso2.carbon.mediation.initializer.CarbonSynapseController}
TID: [-1234] [] [2019-11-25 03:39:07,403]  INFO {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder} -  Building synapse configuration from the synapse artifact repository at : .\.\repository/deployment/server/synapse-configs\default {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder}
TID: [-1234] [] [2019-11-25 03:39:07,455]  INFO {org.apache.synapse.config.xml.XMLConfigurationBuilder} -  Generating the Synapse configuration model by parsing the XML configuration {org.apache.synapse.config.xml.XMLConfigurationBuilder}
TID: [-1234] [] [2019-11-25 03:39:07,536]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Endpoint : kart--v1.0.0_APIproductionEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,546]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Endpoint : kart--v1.0.0_APIsandboxEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,552]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Endpoint : kart1--v1.0.0_APIproductionEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,559]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Endpoint : kart1--v1.0.0_APIsandboxEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,568]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Endpoint : kkkr--v1.0.0_APIproductionEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,577]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Endpoint : kkkr--v1.0.0_APIsandboxEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,584]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Endpoint : WorldBank--v1.0.0_APIproductionEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,685]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : admin--kart1:v1.0.0--In was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,731]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : debug_json_fault was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,731]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : dispatchSeq was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,778]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : fault was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,810]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : main was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,822]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : outDispatchSeq was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,832]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _auth_failure_handler_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,850]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _build_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,881]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _cors_request_handler_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,896]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _production_key_error_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:07,928]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _resource_mismatch_handler_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,023]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _sandbox_key_error_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,070]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _threat_fault_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,086]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _throttle_out_handler_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,117]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Sequence : _token_fault_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,148]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Proxy service : WorkflowCallbackService was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,211]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : admin--kart1 was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,477]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : admin--kart1:v1.0.0 was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,524]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : admin--kkkr was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,562]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : admin--kkkr:v1.0.0 was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,576]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : dev--kart:v1.0.0 was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,595]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : dev--WorldBank:v1.0.0 was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,675]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : _WSO2AMAuthorizeAPI_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1] [] [2019-11-25 03:39:08,761]  INFO {org.wso2.carbon.databridge.core.DataBridge} -  user admin connected {org.wso2.carbon.databridge.core.DataBridge}
TID: [-1234] [] [2019-11-25 03:39:08,763]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : _WSO2AMRevokeAPI_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,814]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : _WSO2AMTokenAPI_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,821]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  API : _WSO2AMUserInfoAPI_ was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,821]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Inbound Endpoint : SecureWebSocketEP was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,852]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} -  Inbound Endpoint : WebSocketInboundEndpoint was added to the Synapse configuration successfully {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker}
TID: [-1234] [] [2019-11-25 03:39:08,852]  INFO {org.apache.synapse.config.SynapseConfigurationBuilder} -  Loaded Synapse configuration from the artifact repository at : .\.\repository/deployment/server/synapse-configs\default {org.apache.synapse.config.SynapseConfigurationBuilder}
