2019-10-29 18:48:22,799 [-] [PassThroughMessageProcessor-3]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:48:27,797 [-] [PassThroughMessageProcessor-6]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 18:59:59,403 [-] [PassThroughMessageProcessor-17]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:00:00,293 [-] [PassThroughMessageProcessor-20]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:00:01,265 [-] [PassThroughMessageProcessor-29]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:00:14,374 [-] [PassThroughMessageProcessor-41]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:10:06,082 [-] [PassThroughMessageProcessor-45]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:10:07,161 [-] [PassThroughMessageProcessor-48]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:10:38,431 [-] [PassThroughMessageProcessor-60]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:19:54,052 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2019-10-29 19:19:54,078 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2019-10-29 19:19:54,080 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2019-10-29 19:20:28,433 [-] [PassThroughMessageProcessor-3]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:20:39,862 [-] [PassThroughMessageProcessor-6]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:23:52,258 [-] [PassThroughMessageProcessor-16]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:36:15,805 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2019-10-29 19:36:15,821 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2019-10-29 19:36:15,821 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2019-10-29 19:36:31,890 [-] [PassThroughMessageProcessor-3]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:36:34,841 [-] [PassThroughMessageProcessor-6]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:45:43,415 [-] [PassThroughMessageProcessor-10]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:45:45,118 [-] [PassThroughMessageProcessor-16]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:45:45,503 [-] [PassThroughMessageProcessor-19]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 19:45:46,703 [-] [PassThroughMessageProcessor-31]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
